Duration,Source Port,Destination Port,Protocol,Flags,Packets,Bytes,Mean Payload Size,Std Payload Size,Min Payload Size,Max Payload Size,Mean Entropy,Min Entropy,Max Entropy,Mean Inter-Packet Interval,Min Inter-Packet Interval,Max Inter-Packet Interval,Bytes per Packet,Packets per Second,Bytes per Second,Destination Common Port Usage,Flags Count,SYN Count,ACK Count,FIN Count,Is HTTP,Is Internal IP,Direction,Short Duration,Single Packet
9.002599,58216,8080,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,4.501299499999732,3.0035849999985658,5.999014000000898,44.66666666666666,0.3332371018635841,14.884590549906754,0,1,1,0,0,0,1,outbound,0,0
9.000981,49507,8080,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,4.500490499980515,3.0022289999760687,5.998751999984961,44.66666666666666,0.3332970039599017,14.88726617687561,0,1,1,0,0,0,1,outbound,0,0
1e-06,52760,8080,HTTP,"PSH,ACK",1,455,455.0,0.0,455,455,3.513575732195418,3.513575732195418,3.513575732195418,0.0,0.0,0.0,455.0,1000000.0,455000000.0,0,2,0,1,0,1,1,outbound,1,1
8.995637,56636,8080,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,4.49781850000727,2.996513999998569,5.99912300001597,44.66666666666666,0.333495004300418,14.89611019208534,0,1,1,0,0,0,1,outbound,0,0
9.005607,64983,8080,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,4.5028034999995725,3.0064760000095703,5.999130999989575,44.66666666666666,0.3331257959624487,14.87961888632271,0,1,1,0,0,0,1,outbound,0,0
1e-06,49713,8080,HTTP,"PSH,ACK",1,456,456.0,0.0,456,456,3.520901705039948,3.520901705039948,3.520901705039948,0.0,0.0,0.0,456.0,1000000.0,456000000.0,0,2,0,1,0,1,1,outbound,1,1
1e-06,8080,49985,DATA-TEXT-LINES,"PSH,ACK",1,352,352.0,0.0,352,352,3.4965907292549736,3.4965907292549736,3.4965907292549736,0.0,0.0,0.0,352.0,1000000.0,352000000.0,0,2,0,1,0,0,0,outbound,1,1
1e-06,49987,8080,HTTP,"PSH,ACK",1,455,455.0,0.0,455,455,3.5104137508949225,3.5104137508949225,3.5104137508949225,0.0,0.0,0.0,455.0,1000000.0,455000000.0,0,2,0,1,0,1,1,outbound,1,1
9.002598,58689,8080,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,4.5012989999959245,3.0034880000166595,5.99910999997519,44.66666666666666,0.3332371388792435,14.884592203272875,0,1,1,0,0,0,1,outbound,0,0
1e-06,49256,8080,HTTP,"PSH,ACK",1,455,455.0,0.0,455,455,3.520872499509134,3.520872499509134,3.520872499509134,0.0,0.0,0.0,455.0,1000000.0,455000000.0,0,2,0,1,0,1,1,outbound,1,1
9.00282,53114,8080,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,4.501410000026226,3.003800999838859,5.999019000213593,44.66666666666666,0.3332289216045639,14.884225165003857,0,1,1,0,0,0,1,outbound,0,0
9.002493,56606,8080,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,4.501246500003617,3.0044029999990016,5.998090000008233,44.66666666666666,0.3332410255692506,14.884765808759864,0,1,1,0,0,0,1,outbound,0,0
9.001791,63916,8080,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,4.5008955000084825,2.993534000008367,6.008257000008598,44.66666666666666,0.3332670131977069,14.885926589497576,0,1,1,0,0,0,1,outbound,0,0
8.998982,59418,8080,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,4.499491000009584,3.0000120000040624,5.998970000015106,44.66666666666666,0.3333710413022273,14.890573178166154,0,1,1,0,0,0,1,outbound,0,0
8.991211,59168,8080,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,4.495605499992962,2.992861000006087,5.998349999979837,44.66666666666666,0.3336591700495072,14.90344292887799,0,1,1,0,0,0,1,outbound,0,0
9.002472,50223,8080,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,4.501235999999153,3.004230999998981,5.998240999999325,44.66666666666666,0.3332418029181318,14.884800530343222,0,1,1,0,0,0,1,outbound,0,0
9.006405,60605,8080,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,4.503202499996405,2.997975000005681,6.008429999987129,44.66666666666666,0.3330962798141988,14.87830049836755,0,1,1,0,0,0,1,outbound,0,0
9.002283,54060,8080,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,4.501141499997175,3.0038729999942007,5.998410000000149,44.66666666666666,0.3332487992212642,14.885113031883137,0,1,1,0,0,0,1,outbound,0,0
8.999588,59421,8080,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,4.499794000003021,3.0014439999940805,5.998144000011962,44.66666666666666,0.3333485932911595,14.88957050033846,0,1,1,0,0,0,1,outbound,0,0
1e-06,8080,53253,HTTP,"PSH,ACK",1,173,173.0,0.0,173,173,3.3270256894493646,3.3270256894493646,3.3270256894493646,0.0,0.0,0.0,173.0,1000000.0,173000000.0,0,2,0,1,0,1,0,outbound,1,1
9.004343,50367,8080,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,4.502171500003897,3.005819000012707,5.998523999995086,44.66666666666666,0.3331725590639983,14.881707638191925,0,1,1,0,0,0,1,outbound,0,0
8.993838,55974,8080,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,4.496918999997433,2.9952169999596663,5.9986210000352,44.66666666666666,0.3335617119187604,14.899089799037965,0,1,1,0,0,0,1,outbound,0,0
