Duration,Source Port,Destination Port,Protocol,Flags,Packets,Bytes,Label,packet_length,flags_count,syn_count,ack_count,fin_count,is_http,is_internal_ip,direction,bytes_per_packet,short_duration,single_packet
0.0,50814,53,DNS,UNK,1,76,Trickbot,76,1,0,0,0,0,1,outbound,76,1,1
0.0,53,50814,DNS,UNK,1,92,Trickbot,92,1,0,0,0,0,0,inbound,92,1,1
0.0,63558,53,DNS,UNK,1,76,Trickbot,76,1,0,0,0,0,1,outbound,76,1,1
0.0,53,63558,DNS,UNK,1,104,Trickbot,104,1,0,0,0,0,0,inbound,104,1,1
10.03295,49158,80,TCP,"FIN,SYN,ACK",5,282,Trickbot,282,3,1,1,1,0,1,outbound,282,0,0
10.032912,80,49158,TCP,"FIN,SYN,RST,ACK",5,306,Trickbot,306,4,1,1,1,0,0,inbound,306,0,0
0.0,49158,80,HTTP,"PSH,ACK",1,143,Trickbot,143,2,0,1,0,1,1,outbound,143,1,1
0.0,80,49158,DATA-TEXT-LINES,"PSH,ACK",1,280,Trickbot,280,2,0,1,0,0,0,inbound,280,1,1
8.999519,49159,443,TCP,SYN,3,194,Trickbot,194,1,1,0,0,0,1,outbound,194,0,0
8.992231,49160,443,TCP,SYN,3,194,Trickbot,194,1,1,0,0,0,1,outbound,194,0,0
9.002017,49161,443,TCP,SYN,3,194,Trickbot,194,1,1,0,0,0,1,outbound,194,0,0
9.002239,49162,443,TCP,SYN,3,194,Trickbot,194,1,1,0,0,0,1,outbound,194,0,0
9.002158,49163,443,TCP,SYN,3,194,Trickbot,194,1,1,0,0,0,1,outbound,194,0,0
9.002898,49164,443,TCP,SYN,3,194,Trickbot,194,1,1,0,0,0,1,outbound,194,0,0
1.342498,49165,443,TCP,"FIN,SYN,ACK",4,228,Trickbot,228,3,1,1,1,0,1,outbound,228,0,0
1.342453,443,49165,TCP,"FIN,SYN,ACK",4,246,Trickbot,246,3,1,1,1,0,0,inbound,246,0,0
0.0,49165,443,TLS,"PSH,ACK",1,144,Trickbot,144,2,0,1,0,0,1,outbound,144,1,1
0.0,443,49165,TLS,"PSH,ACK",1,61,Trickbot,61,2,0,1,0,0,0,inbound,61,1,1
