Duration,Source IP,Destination IP,Source Port,Destination Port,Protocol,Flags,Packets,Bytes,Mean Payload Size,Std Payload Size,Min Payload Size,Max Payload Size,Mean Entropy,Min Entropy,Max Entropy,Mean Inter-Packet Interval,Min Inter-Packet Interval,Max Inter-Packet Interval
0.996372,192.168.1.118,8.8.247.36,49158,443,TCP,SYN,3,134,44.666666666666664,1.8856180831641267,42,46,0.0,0,0,0.498186000000004,0.49501300000000015,0.5013590000000079
0.996406,8.8.247.36,192.168.1.118,443,49158,TCP,RSTACK,3,102,34.0,0.0,34,34,0.0,0,0,0.4982029999999895,0.4950329999999781,0.501373000000001
1.24277,192.168.1.118,107.170.0.14,49159,8043,TCP,SYN,3,134,44.666666666666664,1.8856180831641267,42,46,0.0,0,0,0.6213850000000036,0.6205120000000193,0.622257999999988
1.242445,107.170.0.14,192.168.1.118,8043,49159,TCP,RSTACK,3,120,40.0,0.0,40,40,0.0,0,0,0.6212224999999876,0.6205549999999675,0.6218900000000076
1.020275,192.168.1.118,37.120.172.171,49160,4143,TCP,SYN,3,134,44.666666666666664,1.8856180831641267,42,46,0.0,0,0,0.5101375000000132,0.5086610000000178,0.5116140000000087
1.020733,37.120.172.171,192.168.1.118,4143,49160,TCP,RSTACK,3,120,40.0,0.0,40,40,0.0,0,0,0.5103665000000035,0.5087030000000254,0.5120299999999816
1.139018,192.168.1.118,81.12.229.190,49161,8043,TCP,SYN,3,134,44.666666666666664,1.8856180831641267,42,46,0.0,0,0,0.5695090000000391,0.5675190000000612,0.5714990000000171
1.138736,81.12.229.190,192.168.1.118,8043,49161,TCP,RSTACK,3,120,40.0,0.0,40,40,0.0,0,0,0.5693679999999972,0.5668330000000878,0.5719029999999066
0.998487,192.168.1.118,8.8.247.36,49162,443,TCP,SYN,3,134,44.666666666666664,1.8856180831641267,42,46,0.0,0,0,0.4992434999999773,0.4974889999999732,0.5009979999999814
0.998506,8.8.247.36,192.168.1.118,443,49162,TCP,RSTACK,3,102,34.0,0.0,34,34,0.0,0,0,0.49925300000001016,0.4975080000000389,0.5009979999999814
1.240188,192.168.1.118,107.170.0.14,49163,8043,TCP,SYN,3,134,44.666666666666664,1.8856180831641267,42,46,0.0,0,0,0.6200939999999946,0.6187519999999722,0.621436000000017
1.239961,107.170.0.14,192.168.1.118,8043,49163,TCP,RSTACK,3,120,40.0,0.0,40,40,0.0,0,0,0.6199804999999969,0.6186089999999922,0.6213520000000017
1.038984,192.168.1.118,37.120.172.171,49164,4143,TCP,SYN,3,134,44.666666666666664,1.8856180831641267,42,46,0.0,0,0,0.5194920000000138,0.517955000000029,0.5210289999999986
1.039552,37.120.172.171,192.168.1.118,4143,49164,TCP,RSTACK,3,120,40.0,0.0,40,40,0.0,0,0,0.5197760000000926,0.518498000000136,0.5210540000000492
1.140116,192.168.1.118,81.12.229.190,49165,8043,TCP,SYN,3,134,44.666666666666664,1.8856180831641267,42,46,0.0,0,0,0.5700580000000173,0.5686889999999494,0.5714270000000852
1.13877,81.12.229.190,192.168.1.118,8043,49165,TCP,RSTACK,3,120,40.0,0.0,40,40,0.0,0,0,0.5693850000000111,0.5677800000000843,0.5709899999999379
0.998767,192.168.1.118,8.8.247.36,49166,443,TCP,SYN,3,134,44.666666666666664,1.8856180831641267,42,46,0.0,0,0,0.49938350000002174,0.4982159999999567,0.5005510000000868
0.998746,8.8.247.36,192.168.1.118,443,49166,TCP,RSTACK,3,102,34.0,0.0,34,34,0.0,0,0,0.4993729999999914,0.49827400000003763,0.5004719999999452
1.24038,192.168.1.118,107.170.0.14,49167,8043,TCP,SYN,3,134,44.666666666666664,1.8856180831641267,42,46,0.0,0,0,0.6201899999999796,0.6190279999998438,0.6213520000001154
1.239993,107.170.0.14,192.168.1.118,8043,49167,TCP,RSTACK,3,120,40.0,0.0,40,40,0.0,0,0,0.6199965000000702,0.6186810000001515,0.621311999999989
1.041213,192.168.1.118,37.120.172.171,49168,4143,TCP,SYN,3,134,44.666666666666664,1.8856180831641267,42,46,0.0,0,0,0.5206064999999853,0.5202629999998862,0.5209500000000844
1.042136,37.120.172.171,192.168.1.118,4143,49168,TCP,RSTACK,3,120,40.0,0.0,40,40,0.0,0,0,0.5210680000000139,0.5201329999999871,0.5220030000000406
1.140214,192.168.1.118,81.12.229.190,49169,8043,TCP,SYN,3,134,44.666666666666664,1.8856180831641267,42,46,0.0,0,0,0.5701070000000072,0.5695559999999205,0.570658000000094
1.139859,81.12.229.190,192.168.1.118,8043,49169,TCP,RSTACK,3,120,40.0,0.0,40,40,0.0,0,0,0.5699294999999438,0.5688439999998991,0.5710149999999885
0.999184,192.168.1.118,8.8.247.36,49170,443,TCP,SYN,3,134,44.666666666666664,1.8856180831641267,42,46,0.0,0,0,0.4995920000001206,0.4982220000001689,0.5009620000000723
0.999238,8.8.247.36,192.168.1.118,443,49170,TCP,RSTACK,3,102,34.0,0.0,34,34,0.0,0,0,0.49961899999993875,0.4982959999997547,0.5009420000001228
1.230411,192.168.1.118,107.170.0.14,49171,8043,TCP,SYN,3,134,44.666666666666664,1.8856180831641267,42,46,0.0,0,0,0.6152055000000018,0.6113640000003215,0.6190469999996822
1.230621,107.170.0.14,192.168.1.118,8043,49171,TCP,RSTACK,3,120,40.0,0.0,40,40,0.0,0,0,0.6153105000000778,0.6116390000001957,0.61898199999996
1.039384,192.168.1.118,37.120.172.171,49172,4143,TCP,SYN,3,134,44.666666666666664,1.8856180831641267,42,46,0.0,0,0,0.5196919999998499,0.5180159999999887,0.5213679999997112
1.040459,37.120.172.171,192.168.1.118,4143,49172,TCP,RSTACK,3,120,40.0,0.0,40,40,0.0,0,0,0.520229499999914,0.5179950000001554,0.5224639999996725
1.159496,192.168.1.118,81.12.229.190,49173,8043,TCP,SYN,3,134,44.666666666666664,1.8856180831641267,42,46,0.0,0,0,0.5797480000001087,0.5783970000002228,0.5810989999999947
1.159943,81.12.229.190,192.168.1.118,8043,49173,TCP,RSTACK,3,120,40.0,0.0,40,40,0.0,0,0,0.579971500000056,0.5788919999999962,0.5810510000001159
1.00191,192.168.1.118,8.8.247.36,49174,443,TCP,SYN,3,134,44.666666666666664,1.8856180831641267,42,46,0.0,0,0,0.5009549999999763,0.5008299999999508,0.5010800000000017
1.001948,8.8.247.36,192.168.1.118,443,49174,TCP,RSTACK,3,102,34.0,0.0,34,34,0.0,0,0,0.500974000000042,0.500807999999779,0.501140000000305
1.238648,192.168.1.118,107.170.0.14,49175,8043,TCP,SYN,3,134,44.666666666666664,1.8856180831641267,42,46,0.0,0,0,0.619324000000006,0.6173009999997703,0.6213470000002417
1.238397,107.170.0.14,192.168.1.118,8043,49175,TCP,RSTACK,3,120,40.0,0.0,40,40,0.0,0,0,0.6191985000000386,0.617033999999876,0.6213630000002013
1.040854,192.168.1.118,37.120.172.171,49176,4143,TCP,SYN,3,134,44.666666666666664,1.8856180831641267,42,46,0.0,0,0,0.5204269999999269,0.5190360000001419,0.5218179999997119
1.039603,37.120.172.171,192.168.1.118,4143,49176,TCP,RSTACK,3,120,40.0,0.0,40,40,0.0,0,0,0.5198014999998577,0.5197079999998095,0.5198949999999058
1.139647,192.168.1.118,81.12.229.190,49177,8043,TCP,SYN,3,134,44.666666666666664,1.8856180831641267,42,46,0.0,0,0,0.569823499999984,0.5682200000001103,0.5714269999998578
