File,Benign_Count,Dridex_Count,Final_Classification
../../data/collected/normal_machines/benign_3.csv,434,0,Benign
../../data/collected/normal_machines/benign_2.csv,504,0,Benign
../../data/collected/normal_machines/benign_5.csv,435,0,Benign
../../data/collected/normal_machines/benign_4.csv,521,0,Benign
../../data/collected/normal_machines/benign_1.csv,411,0,Benign
../../data/collected/infected_machines/infected_5.csv,529,143,Malicious
../../data/collected/infected_machines/infected_4.csv,417,109,Malicious
../../data/collected/infected_machines/infected_2.csv,506,142,Malicious
../../data/collected/infected_machines/infected_1.csv,462,130,Malicious
../../data/collected/infected_machines/infected_3.csv,535,155,Malicious
